,date,payems
383,1970-02-01,71304
384,1970-03-01,71452
385,1970-04-01,71348
386,1970-05-01,71123
387,1970-06-01,71029
388,1970-07-01,71053
389,1970-08-01,70933
390,1970-09-01,70948
391,1970-10-01,70519
392,1970-11-01,70409
393,1970-12-01,70790
394,1971-01-01,70866
395,1971-02-01,70806
396,1971-03-01,70859
397,1971-04-01,71037
398,1971-05-01,71247
399,1971-06-01,71253
400,1971-07-01,71315
401,1971-08-01,71370
402,1971-09-01,71617
403,1971-10-01,71642
404,1971-11-01,71846
405,1971-12-01,72108
406,1972-01-01,72445
407,1972-02-01,72652
408,1972-03-01,72945
409,1972-04-01,73163
410,1972-05-01,73467
411,1972-06-01,73760
412,1972-07-01,73708
413,1972-08-01,74138
414,1972-09-01,74263
415,1972-10-01,74673
416,1972-11-01,74967
417,1972-12-01,75270
418,1973-01-01,75621
419,1973-02-01,76017
420,1973-03-01,76285
421,1973-04-01,76455
422,1973-05-01,76646
423,1973-06-01,76887
424,1973-07-01,76911
425,1973-08-01,77166
426,1973-09-01,77276
427,1973-10-01,77606
428,1973-11-01,77912
429,1973-12-01,78035
430,1974-01-01,78104
431,1974-02-01,78254
432,1974-03-01,78296
433,1974-04-01,78382
434,1974-05-01,78547
435,1974-06-01,78602
436,1974-07-01,78635
437,1974-08-01,78619
438,1974-09-01,78611
439,1974-10-01,78629
440,1974-11-01,78261
441,1974-12-01,77657
442,1975-01-01,77297
443,1975-02-01,76919
444,1975-03-01,76649
445,1975-04-01,76461
446,1975-05-01,76623
447,1975-06-01,76520
448,1975-07-01,76769
449,1975-08-01,77155
450,1975-09-01,77230
451,1975-10-01,77535
452,1975-11-01,77680
453,1975-12-01,78018
454,1976-01-01,78506
455,1976-02-01,78817
456,1976-03-01,79049
457,1976-04-01,79292
458,1976-05-01,79311
459,1976-06-01,79376
460,1976-07-01,79547
461,1976-08-01,79704
462,1976-09-01,79892
463,1976-10-01,79905
464,1976-11-01,80237
465,1976-12-01,80448
466,1977-01-01,80692
467,1977-02-01,80988
468,1977-03-01,81391
469,1977-04-01,81729
470,1977-05-01,82089
471,1977-06-01,82488
472,1977-07-01,82836
473,1977-08-01,83074
474,1977-09-01,83532
475,1977-10-01,83794
476,1977-11-01,84173
477,1977-12-01,84408
478,1978-01-01,84595
479,1978-02-01,84948
480,1978-03-01,85461
481,1978-04-01,86163
482,1978-05-01,86509
483,1978-06-01,86951
484,1978-07-01,87205
485,1978-08-01,87481
486,1978-09-01,87618
487,1978-10-01,87954
488,1978-11-01,88391
489,1978-12-01,88673
490,1979-01-01,88810
491,1979-02-01,89054
492,1979-03-01,89480
493,1979-04-01,89418
494,1979-05-01,89791
495,1979-06-01,90109
496,1979-07-01,90215
497,1979-08-01,90297
498,1979-09-01,90325
499,1979-10-01,90482
500,1979-11-01,90576
501,1979-12-01,90673
502,1980-01-01,90802
503,1980-02-01,90882
504,1980-03-01,90994
505,1980-04-01,90850
506,1980-05-01,90419
507,1980-06-01,90099
508,1980-07-01,89837
509,1980-08-01,90097
510,1980-09-01,90210
511,1980-10-01,90491
512,1980-11-01,90748
513,1980-12-01,90943
514,1981-01-01,91037
515,1981-02-01,91105
516,1981-03-01,91210
517,1981-04-01,91283
518,1981-05-01,91293
519,1981-06-01,91490
520,1981-07-01,91602
521,1981-08-01,91566
522,1981-09-01,91479
523,1981-10-01,91380
524,1981-11-01,91171
525,1981-12-01,90893
526,1982-01-01,90567
527,1982-02-01,90562
528,1982-03-01,90432
529,1982-04-01,90152
530,1982-05-01,90107
531,1982-06-01,89864
532,1982-07-01,89522
533,1982-08-01,89364
534,1982-09-01,89183
535,1982-10-01,88906
536,1982-11-01,88783
537,1982-12-01,88769
538,1983-01-01,88993
539,1983-02-01,88918
540,1983-03-01,89090
541,1983-04-01,89366
542,1983-05-01,89643
543,1983-06-01,90022
544,1983-07-01,90440
545,1983-08-01,90132
546,1983-09-01,91247
547,1983-10-01,91518
548,1983-11-01,91871
549,1983-12-01,92227
550,1984-01-01,92673
551,1984-02-01,93154
552,1984-03-01,93429
553,1984-04-01,93792
554,1984-05-01,94100
555,1984-06-01,94479
556,1984-07-01,94792
557,1984-08-01,95034
558,1984-09-01,95344
559,1984-10-01,95630
560,1984-11-01,95979
561,1984-12-01,96107
562,1985-01-01,96373
563,1985-02-01,96497
564,1985-03-01,96843
565,1985-04-01,97039
566,1985-05-01,97313
567,1985-06-01,97459
568,1985-07-01,97649
569,1985-08-01,97842
570,1985-09-01,98045
571,1985-10-01,98233
572,1985-11-01,98442
573,1985-12-01,98609
574,1986-01-01,98734
575,1986-02-01,98841
576,1986-03-01,98935
577,1986-04-01,99122
578,1986-05-01,99249
579,1986-06-01,99155
580,1986-07-01,99473
581,1986-08-01,99587
582,1986-09-01,99934
583,1986-10-01,100120
584,1986-11-01,100306
585,1986-12-01,100511
586,1987-01-01,100683
587,1987-02-01,100915
588,1987-03-01,101164
589,1987-04-01,101502
590,1987-05-01,101728
591,1987-06-01,101900
592,1987-07-01,102247
593,1987-08-01,102418
594,1987-09-01,102646
595,1987-10-01,103138
596,1987-11-01,103370
597,1987-12-01,103664
598,1988-01-01,103758
599,1988-02-01,104211
600,1988-03-01,104487
601,1988-04-01,104732
602,1988-05-01,104961
603,1988-06-01,105324
604,1988-07-01,105546
605,1988-08-01,105670
606,1988-09-01,106009
607,1988-10-01,106277
608,1988-11-01,106616
609,1988-12-01,106906
610,1989-01-01,107168
611,1989-02-01,107426
612,1989-03-01,107619
613,1989-04-01,107792
614,1989-05-01,107910
615,1989-06-01,108026
616,1989-07-01,108066
617,1989-08-01,108115
618,1989-09-01,108365
619,1989-10-01,108476
620,1989-11-01,108753
621,1989-12-01,108849
622,1990-01-01,109184
623,1990-02-01,109433
624,1990-03-01,109647
625,1990-04-01,109687
626,1990-05-01,109838
627,1990-06-01,109862
628,1990-07-01,109830
629,1990-08-01,109614
630,1990-09-01,109525
631,1990-10-01,109366
632,1990-11-01,109216
633,1990-12-01,109160
634,1991-01-01,109040
635,1991-02-01,108735
636,1991-03-01,108577
637,1991-04-01,108366
638,1991-05-01,108241
639,1991-06-01,108338
640,1991-07-01,108298
641,1991-08-01,108308
642,1991-09-01,108340
643,1991-10-01,108357
644,1991-11-01,108299
645,1991-12-01,108325
646,1992-01-01,108377
647,1992-02-01,108314
648,1992-03-01,108368
649,1992-04-01,108527
650,1992-05-01,108653
651,1992-06-01,108721
652,1992-07-01,108792
653,1992-08-01,108930
