date,date,payems,peak
1961-05-01,1961-05-01,53785,0
1961-06-01,1961-06-01,53977,0
1961-07-01,1961-07-01,54123,0
1961-08-01,1961-08-01,54298,0
1961-09-01,1961-09-01,54388,0
1961-10-01,1961-10-01,54522,0
1961-11-01,1961-11-01,54743,0
1961-12-01,1961-12-01,54871,0
1962-01-01,1962-01-01,54891,0
1962-02-01,1962-02-01,55187,0
1962-03-01,1962-03-01,55276,0
1962-04-01,1962-04-01,55602,0
1962-05-01,1962-05-01,55627,0
1962-06-01,1962-06-01,55644,0
1962-07-01,1962-07-01,55746,0
1962-08-01,1962-08-01,55838,0
1962-09-01,1962-09-01,55977,0
1962-10-01,1962-10-01,56041,0
1962-11-01,1962-11-01,56056,0
1962-12-01,1962-12-01,56028,0
1963-01-01,1963-01-01,56116,0
1963-02-01,1963-02-01,56230,0
1963-03-01,1963-03-01,56322,0
1963-04-01,1963-04-01,56580,0
1963-05-01,1963-05-01,56616,0
1963-06-01,1963-06-01,56658,0
1963-07-01,1963-07-01,56794,0
1963-08-01,1963-08-01,56910,0
1963-09-01,1963-09-01,57077,0
1963-10-01,1963-10-01,57284,0
1963-11-01,1963-11-01,57255,0
1963-12-01,1963-12-01,57360,0
1964-01-01,1964-01-01,57487,0
1964-02-01,1964-02-01,57751,0
1964-03-01,1964-03-01,57898,0
1964-04-01,1964-04-01,57922,0
1964-05-01,1964-05-01,58089,0
1964-06-01,1964-06-01,58221,0
1964-07-01,1964-07-01,58413,0
1964-08-01,1964-08-01,58619,0
1964-09-01,1964-09-01,58903,0
1964-10-01,1964-10-01,58794,0
1964-11-01,1964-11-01,59217,0
1964-12-01,1964-12-01,59421,0
1965-01-01,1965-01-01,59583,0
1965-02-01,1965-02-01,59800,0
1965-03-01,1965-03-01,60003,0
1965-04-01,1965-04-01,60259,0
1965-05-01,1965-05-01,60492,0
1965-06-01,1965-06-01,60690,0
1965-07-01,1965-07-01,60963,0
1965-08-01,1965-08-01,61228,0
1965-09-01,1965-09-01,61490,0
1965-10-01,1965-10-01,61718,0
1965-11-01,1965-11-01,61997,0
1965-12-01,1965-12-01,62321,0
1966-01-01,1966-01-01,62528,0
1966-02-01,1966-02-01,62796,0
1966-03-01,1966-03-01,63192,0
1966-04-01,1966-04-01,63436,0
1966-05-01,1966-05-01,63711,0
1966-06-01,1966-06-01,64110,0
1966-07-01,1966-07-01,64301,0
1966-08-01,1966-08-01,64507,0
1966-09-01,1966-09-01,64644,0
1966-10-01,1966-10-01,64854,0
1966-11-01,1966-11-01,65019,0
1966-12-01,1966-12-01,65200,0
1967-01-01,1967-01-01,65407,0
1967-02-01,1967-02-01,65428,0
1967-03-01,1967-03-01,65530,0
1967-04-01,1967-04-01,65467,0
1967-05-01,1967-05-01,65619,0
1967-06-01,1967-06-01,65750,0
1967-07-01,1967-07-01,65887,0
1967-08-01,1967-08-01,66142,0
1967-09-01,1967-09-01,66164,0
1967-10-01,1967-10-01,66225,0
1967-11-01,1967-11-01,66703,0
1967-12-01,1967-12-01,66900,0
1968-01-01,1968-01-01,66805,0
1968-02-01,1968-02-01,67215,0
1968-03-01,1968-03-01,67295,0
1968-04-01,1968-04-01,67555,0
1968-05-01,1968-05-01,67653,0
1968-06-01,1968-06-01,67904,0
1968-07-01,1968-07-01,68125,0
1968-08-01,1968-08-01,68328,0
1968-09-01,1968-09-01,68487,0
1968-10-01,1968-10-01,68720,0
1968-11-01,1968-11-01,68985,0
1968-12-01,1968-12-01,69246,0
1969-01-01,1969-01-01,69438,0
1969-02-01,1969-02-01,69700,0
1969-03-01,1969-03-01,69905,0
1969-04-01,1969-04-01,70072,0
1969-05-01,1969-05-01,70328,0
1969-06-01,1969-06-01,70636,0
1969-07-01,1969-07-01,70729,0
1969-08-01,1969-08-01,71006,0
1969-09-01,1969-09-01,70917,0
1969-10-01,1969-10-01,71120,0
1969-11-01,1969-11-01,71087,0
1969-12-01,1969-12-01,71240,1
1970-01-01,1970-01-01,71176,0
1970-02-01,1970-02-01,71304,0
1970-03-01,1970-03-01,71452,0
1970-04-01,1970-04-01,71348,0
1970-05-01,1970-05-01,71123,0
1970-06-01,1970-06-01,71029,0
1970-07-01,1970-07-01,71053,0
1970-08-01,1970-08-01,70933,0
1970-09-01,1970-09-01,70948,0
1970-10-01,1970-10-01,70519,0
1970-11-01,1970-11-01,70409,0
1970-12-01,1970-12-01,70790,0
1971-01-01,1971-01-01,70866,0
1971-02-01,1971-02-01,70806,0
1971-03-01,1971-03-01,70859,0
